city,alt_name,state,median_yearly_income,median_monthly_income,rent,latitude,longitude
fredericksburg,"Fredericksburg, VA",VA,64792,5399,1619,39.414443,-77.4105783
fresno,Fresno/Madera,CA,61489,5124,1537,38.3031837,-77.4605399
gadsden,Gadsden-Anniston,AL,43511,3625,1087,36.7394421,-119.7848307
gainesville,"Gainesville, FL",FL,47212,3934,1180,34.0142639,-86.0066387
galveston,"Galveston, TX",TX,52576,4381,1314,29.651907,-82.3247976
glensfalls,"Glens Falls, NY",NY,58687,4890,1467,29.299328,-94.7945882
goldcountry,Gold Country,CA,61489,5124,1537,43.3096957,-73.6441045
grandforks,Grand Forks,ND,55579,4631,1389,44.9805455,-93.2355243
grandisland,"Grand Island, NE",NE,52400,4366,1309,47.9078244,-97.0592028
grandrapids,"Grand Rapids, MI",MI,49087,4090,1227,40.9250124,-98.342007
greatfalls,"Great Falls, MT",MT,46766,3897,1169,42.9632405,-85.6678639
greenbay,"Green Bay, WI",WI,52738,4394,1318,47.5048851,-111.2918908
greensboro,"Greensboro, NC",NC,46693,3891,1167,44.5299412,-88.0248317
greenville,Greenville/Upstate,SC,45033,3752,1125,36.0726355,-79.7919754
gulfport,Gulfport/Biloxi,MS,39464,3288,986,34.851354,-82.3984882
hanford,Hanford-Corcoran,CA,61489,5124,1537,30.3674198,-89.0928155
harrisburg,"Harrisburg, PA",PA,53115,4426,1327,36.3274502,-119.6456844
harrisonburg,"Harrisonburg, VA",VA,64792,5399,1619,40.2663107,-76.8861122
hartford,"Hartford, CT",CT,69899,5824,1747,38.4493315,-78.8688833
hattiesburg,"Hattiesburg, MS",MS,39464,3288,986,41.7634935,-72.6830523
helena,"Helena, MT",MT,46766,3897,1169,31.3271189,-89.2903392
hickory,Hickory/Lenoir,NC,46693,3891,1167,46.5927122,-112.036109
hiltonhead,Hilton Head,SC,45033,3752,1125,35.7331895,-81.3412006
holland,"Holland, MI",MI,49087,4090,1227,32.1894928,-80.7488113
honolulu,Hawaii,HI,68201,5683,1704,42.7876022,-86.1090828
houma,"Houma, LA",LA,44991,3749,1124,21.304547,-157.8556764
houston,"Houston, TX",TX,52576,4381,1314,29.5957696,-90.7195348
hudsonvalley,"Hudson Valley, NY",NY,58687,4890,1467,29.7589382,-95.3676974
humboldt,Humboldt County,CA,61489,5124,1537,42.6072474,-73.7615013
huntington,Huntington-Ashland,WV,41576,3464,1039,52.2046101,-105.1151316
huntsville,Huntsville/Decatur,AL,43511,3625,1087,38.4192496,-82.445154
imperial,Imperial County,CA,61489,5124,1537,34.577718,-86.83583561
indianapolis,Indianapolis,IN,48737,4061,1218,33.0305487,-115.3595666
inlandempire,"Inland Empire, CA",CA,61489,5124,1537,39.7683331,-86.1583502
iowacity,"Iowa City, IA",IA,52716,4393,1317,33.96491515,-117.6757944
ithaca,"Ithaca, NY",NY,58687,4890,1467,41.6612561,-91.5299106
jackson,"Jackson, MS",MS,39464,3288,986,42.4396039,-76.4968019
jacksontn,"Jackson, TN",TN,44621,3718,1115,32.2990384,-90.1847691
jacksonville,"Jacksonville, FL",FL,47212,3934,1180,35.614517,-88.813947
janesville,"Janesville, WI",WI,52738,4394,1318,30.3321838,-81.655651
jerseyshore,Jersey Shore,NJ,72062,6005,1801,42.7151854,-88.9907743
jonesboro,"Jonesboro, AR",AR,41264,3438,1031,41.2020171,-77.2644152
joplin,"Joplin, MO",MO,47764,3980,1194,35.8428646,-90.7034522
juneau,Southeast Alaska,AK,71829,5985,1795,37.0842271,-94.513281
jxn,"Jackson, MI",MI,49087,4090,1227,58.3019496,-134.419734
kalamazoo,"Kalamazoo, MI",MI,49087,4090,1227,32.4104385,-90.16206489
kalispell,"Kalispell, MT",MT,46766,3897,1169,42.291707,-85.5872286
kansascity,"Kansas City, MO",MO,47764,3980,1194,48.2022563,-114.3167117
kenai,Kenai Peninsula,AK,71829,5985,1795,39.0844687,-94.5630298
keys,Florida Keys,FL,47212,3934,1180,60.560266,-151.2071446
killeen,Killeen/Temple/Ft Hood,TX,52576,4381,1314,24.6670875,-81.5831421
kirksville,"Kirksville, MO",MO,47764,3980,1194,31.1171441,-97.727796
klamath,"Klamath Falls, OR",OR,50521,4210,1263,40.1947539,-92.5832496
knoxville,"Knoxville, TN",TN,44621,3718,1115,42.6052565,-121.739544
kokomo,"Kokomo, IN",IN,48737,4061,1218,35.9603948,-83.9210261
kpr,Kennewick-Pasco-Richland,WA,60294,5024,1507,40.4864444,-86.1336351
ksu,"Manhattan, KS",KS,51872,4322,1296,46.2112458,-119.1372338
lacrosse,"La Crosse, WI",WI,52738,4394,1318,39.1836082,-96.5716694
